Dom1,Dom2,Dom3,Dom4,Dom5,Dom6,Dom7
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0.991555810970091,0.00844418902990901,0,0,0,0,0
0.991421213307242,0.00857878669275802,0,0,0,0,0
0.985717038854138,0.0142829611458619,0,0,0,0,0
0.983401846192473,0.0165981538075271,0,0,0,0,0
0.97832641136032,0.0216735886396799,0,0,0,0,0
0.973032655450829,0.0262456933571897,0.000721651191980935,0,0,0,0
0.970005801147267,0.0299941988527331,0,0,0,0,0
0.967751260783334,0.032248739216666,0,0,0,0,0
0.967524204694153,0.0324757953058467,0,0,0,0,0
0.966595987359415,0.0211046714041896,0.0122993412363957,0,0,0,0
0.95398710041615,0.0460128995838496,0,0,0,0,0
0.952593392772758,0.03847483246435,0.00893177476289236,0,0,0,0
0.949474572377529,0.0381734286657974,0.012351998956674,0,0,0,0
0.949413830797337,0.0505861692026631,0,0,0,0,0
0.947649014888927,0.0523509851110734,0,0,0,0,0
0.945889465364157,0.0541105346358431,0,0,0,0,0
0.940197469442048,0.0598025305579517,0,0,0,0,0
0.937239821344155,0.0613674417005818,0.00139273695526361,0,0,0,0
0.937227440868061,0.0523055793594927,0.0104669797724459,0,0,0,0
0.934546702739229,0.0544869256303415,0.01096637163043,0,0,0,0
0.933016678626664,0.0560900035878243,0.0108933177855116,0,0,0,0
0.930380477399832,0.069619522600168,0,0,0,0,0
0.928763700136087,0.0712362998639128,0,0,0,0,0
0.927904428868229,0.0720955711317712,0,0,0,0,0
0.927025186051353,0.0371662276927722,0.0358085862558744,0,0,0,0
0.926687679060887,0.0585109025041998,0.0148014184349128,0,0,0,0
0.92308266827444,0.0434765327622233,0.0334407989633365,0,0,0,0
0.922615538450667,0.0773844615493326,0,0,0,0,0
0.918010678624926,0.0677991266488397,0.0141901947262344,0,0,0,0
0.917922480934553,0.0601119618586553,0.021965557206792,0,0,0,0
0.916787887920593,0.060996822284763,0.0222152897946444,0,0,0,0
0.915840911712447,0.0841590882875528,0,0,0,0,0
0.915715149771463,0.0438399963452473,0.0404448538832896,0,0,0,0
0.914770480374418,0.0543142454422434,0.030915274183339,0,0,0,0
0.914264394563979,0.0623228525079747,0.0174311738741747,0.00598157905387137,0,0,0
0.912802316915639,0.0573765701829856,0.0298211129013759,0,0,0,0
0.910317070678319,0.0896829293216806,0,0,0,0,0
0.910122409253124,0.0449850241425658,0.0448925666043099,0,0,0,0
0.909553242830663,0.0637651895303696,0.0266815676389676,0,0,0,0
0.907382731896895,0.0770146766145992,0.0156025914885054,0,0,0,0
0.906638143411494,0.0616263079874224,0.0317355486010835,0,0,0,0
0.904921855575014,0.0918224561523439,0.00325568827264258,0,0,0,0
0.902722316081224,0.0638547925337367,0.0334228913850387,0,0,0,0
0.901585097126213,0.0926997122396468,0.00571519063413973,0,0,0,0
0.899340461584724,0.0849894657101145,0.0156700727051612,0,0,0,0
0.898892567675798,0.0680621155185002,0.0330453168057019,0,0,0,0
0.896884537873222,0.0722481563850415,0.0308673057417367,0,0,0,0
0.895408882826718,0.0864143913036766,0.0181767258696052,0,0,0,0
0.894256411194939,0.105743588805061,0,0,0,0,0
0.893694954642862,0.0611808877303011,0.0451241576268369,0,0,0,0
0.893676443915551,0.0683112973482262,0.0363895708562431,0.00162268787997999,0,0,0
0.889769582940111,0.110230417059889,0,0,0,0,0
